ActivityName,Description,Website,ContactName,Email,Address,Category,AffiliatedWithCollege,College,RequiresDues,SkillLevel
Thinkers Union,Join us as we focused on student-led political initiatives and advocacy. We welcome everyone to contribute their unique perspective.,http://jordan.biz/,Paul Lee,elizabethlamb@hunt.com,"3912 Williams Bridge, Boston, MA 02109",Politics,True,Northeastern,False,Intermediate
Dreamers of Politics,"Our mission is to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",http://ford-little.net/,David Campbell,sanchezjennifer@watkins.net,"7106 Zimmerman Crescent, Boston, MA 02113",Politics,True,Northeastern,False,Intermediate
Sessions Studio,"Join us as we focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",http://www.vincent-adams.org/,Michael Knapp,bernardboyle@mann.info,"7626 Jimenez Run, Boston, MA 02108",Politics,True,Massachusetts Institute of Technology,False,Intermediate
Roots of Politics,"Be part of a community that a space for discussing local and global political issues. Open to all students, regardless of background or experience.",http://gordon.com/,Derek Francis,kirk02@pearson.net,"5849 Wise Trace, Boston, MA 02115",Politics,False,Northeastern,True,Intermediate
Pulse of Politics,"Our club encourages students to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",https://www.smith.com/,Jonathan Davis,tammy36@thomas.org,"7415 Joseph Green, Boston, MA 02118",Politics,True,Northeastern,False,Advanced
Roots Coalition,"Students gather here to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",http://www.sanchez-cruz.com/,Steven Yoder,andrea94@bryan.net,"528 Kemp Ports, Boston, MA 02110",Politics,True,Boston College,False,Intermediate
Pulse Team,"We aim to we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",https://craig.com/,Krystal Wang,collin83@hoffman.info,"200 Norman Mill, Boston, MA 02118",Politics,True,Tufts University,True,Beginner
Sessions League,"An opportunity to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",https://www.wall-wilson.com/,Dawn Rhodes,gregorybennett@robbins-larsen.com,"918 Joshua Crescent, Boston, MA 02114",Politics,True,Boston University,True,Advanced
Politics Coalition,"A space to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",https://www.garrison-porter.com/,Joe Ramirez,elizabeth56@chan.org,"9881 Jones Place, Boston, MA 02115",Politics,False,Tufts University,True,Beginner
Pulse Forum,"An opportunity to we engage in debates and civic action around public policy. Our discussions are informal, engaging, and open-minded.",http://meza-davis.com/,Cody Blake,heather63@clark.com,"940 Foster Key, Boston, MA 02215",Politics,False,Tufts University,False,Intermediate
Sessions Network,Be part of a community that focused on student-led political initiatives and advocacy. Connect with peers through regular meetups and events.,https://hess-rosales.net/,Amanda Trujillo,sampsontim@wells.com,"182 Miller Pines, Boston, MA 02109",Politics,True,Tufts University,False,Intermediate
Politics Alliance,This group is designed to focused on student-led political initiatives and advocacy. Connect with peers through regular meetups and events.,https://www.weber.com/,Lynn Vazquez,lopezjustin@simon-bell.com,"756 Darius Road, Boston, MA 02109",Politics,True,Massachusetts Institute of Technology,True,Beginner
Roots Society,Students gather here to focused on student-led political initiatives and advocacy. We aim to build community through tradition and practice.,https://www.craig-lucas.info/,Jason Osborne,kgalloway@beasley.net,"8860 Tim Neck, Boston, MA 02113",Politics,True,Tufts University,False,Beginner
Builders Studio,"This group is designed to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",https://scott-sellers.com/,Keith Mayo,santanamichael@gonzalez-spencer.com,"540 Higgins Village, Boston, MA 02215",Politics,True,Northeastern,False,Beginner
Crew Team,"Be part of a community that we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",https://mcdonald.com/,Katie Kerr,amartinez@higgins-ward.com,"1248 Alvarez Lock, Boston, MA 02113",Politics,False,Massachusetts Institute of Technology,False,Beginner
Builders Collective,Students gather here to focused on student-led political initiatives and advocacy. We welcome everyone to contribute their unique perspective.,https://www.adams.com/,David Tyler,raymondlopez@schwartz.org,"466 Harris Pines, Boston, MA 02116",Politics,True,Boston University,False,Beginner
Politics Circle,"Students gather here to focused on student-led political initiatives and advocacy. Our discussions are informal, engaging, and open-minded.",http://cohen-patterson.com/,Andrea Fernandez,waltonwilliam@hansen-flowers.org,"97188 Barker Manors, Boston, MA 02110",Politics,True,Massachusetts Institute of Technology,False,Advanced
Movement Alliance,Our mission is to we engage in debates and civic action around public policy. Connect with peers through regular meetups and events.,https://rasmussen.org/,Brandon Hester,deanna36@perry-turner.com,"4538 Sharon Village, Boston, MA 02110",Politics,True,Boston College,True,Advanced
Creators Club,Be part of a community that a space for discussing local and global political issues. Join us weekly as we grow our shared passion.,http://lucas.com/,Todd Walker,smithchristopher@moore.com,"79569 Walsh Mill, Boston, MA 02108",Politics,False,University of Massachusetts Boston,True,Beginner
Creators Guild,"Be part of a community that a space for discussing local and global political issues. Open to all students, regardless of background or experience.",https://stevens.info/,Kendra Taylor,bbyrd@roberts.com,"86834 Lopez Run, Boston, MA 02108",Politics,True,Harvard,True,Intermediate
Innovators of Politics,"Join us as we a space for discussing local and global political issues. Open to all students, regardless of background or experience.",http://phillips-gallagher.biz/,Nicole King,conniechapman@butler-martinez.biz,"445 Travis Rest, Boston, MA 02113",Politics,True,Boston College,True,Advanced
Sessions Union,Students gather here to we engage in debates and civic action around public policy. We welcome everyone to contribute their unique perspective.,http://www.levine.com/,Joshua Vasquez,millerkatie@payne.com,"343 Michael Spur, Boston, MA 02114",Politics,False,Harvard,True,Beginner
Explorers Studio,"This group is designed to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",http://www.carlson.com/,Andrew Perry,nguyenhailey@kennedy.com,"446 Bonnie Cove, Boston, MA 02215",Politics,True,Massachusetts Institute of Technology,False,Advanced
Voices Board,"Students gather here to we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",http://www.kennedy.com/,Sean Munoz,pdouglas@robinson-jones.org,"926 Anthony Dam, Boston, MA 02118",Politics,False,Harvard,False,Intermediate
Vibes of Politics,"A space to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",https://bentley.biz/,Austin Ramirez,huntergregory@ortega.org,"036 Mayo Fall, Boston, MA 02115",Politics,False,Boston College,False,Advanced
Sessions of Politics,"A space to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",https://www.perry.com/,Brooke Moon,griley@taylor.org,"3124 James Locks, Boston, MA 02115",Politics,False,Massachusetts Institute of Technology,True,Intermediate
Builders Guild,"Join us as we we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",https://schroeder.com/,Brian Taylor,julieryan@castaneda.com,"91267 John Park, Boston, MA 02118",Politics,True,Massachusetts Institute of Technology,True,Beginner
Creators of Politics,"We come together to focused on student-led political initiatives and advocacy. Open to all students, regardless of background or experience.",https://www.smith-walters.com/,April Robinson,troy36@moore.org,"410 Vargas Parkways, Boston, MA 02110",Politics,True,Tufts University,False,Advanced
Crew Network,We aim to focused on student-led political initiatives and advocacy. Connect with peers through regular meetups and events.,https://www.thompson-steele.com/,Melissa Sparks,valerie24@harris.org,"9580 Rangel Forks, Boston, MA 02110",Politics,True,Boston University,False,Beginner
Exchange of Politics,"Our club encourages students to we engage in debates and civic action around public policy. Open to all students, regardless of background or experience.",https://thompson.com/,Joseph Simpson,hmontes@gibson-sanford.biz,"85610 Sanchez Course, Boston, MA 02116",Politics,True,Harvard,True,Advanced
Builders of Politics,"This group is designed to a space for discussing local and global political issues. Open to all students, regardless of background or experience.",http://www.wilkerson.com/,Megan Ruiz,william00@berry.biz,"13110 Miranda Underpass, Boston, MA 02108",Politics,False,University of Massachusetts Boston,True,Advanced
Thinkers Initiative,"A space to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",https://www.burnett-griffith.com/,Mikayla Lam,mark09@ross.com,"31060 Jeremiah Mission, Boston, MA 02111",Religion,True,University of Massachusetts Boston,False,Intermediate
Innovators of Religion,"A space to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",http://lewis.info/,Ashley Jones,sarahhawkins@taylor-dunlap.com,"10027 Nicholas Hills, Boston, MA 02114",Religion,False,Tufts University,True,Advanced
Movement of Religion,"Our club encourages students to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",https://www.wallace.info/,Julia Johnson,amberphillips@garcia.org,"9949 Eric Fields, Boston, MA 02110",Religion,True,Massachusetts Institute of Technology,True,Advanced
Voices of Religion,"We aim to hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",https://www.evans.com/,Amanda Faulkner,irodriguez@smith.com,"2998 Judy Vista, Boston, MA 02116",Religion,False,Massachusetts Institute of Technology,True,Intermediate
Religion League,"Our mission is to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",http://www.johnson-davis.com/,Carolyn Higgins,vmanning@cook.org,"9802 Palmer Trace, Boston, MA 02110",Religion,True,Boston University,False,Advanced
Creators Board,"An opportunity to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",https://fischer.com/,Carol Mccall,nlowery@henderson.com,"38084 Meagan Islands, Boston, MA 02115",Religion,True,Northeastern,True,Advanced
Builders Alliance,"Students gather here to gathering students to explore faith, spirituality, and tradition. Connect with peers through regular meetups and events.",http://www.sullivan-hill.com/,Cynthia Johnson,xrodriguez@thomas-mcgee.com,"190 Goodwin Prairie, Boston, MA 02116",Religion,False,Boston University,False,Intermediate
Voices Guild,"Join us as we promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",https://larson.com/,Russell Lara,carlbarrett@harrell.com,"98844 Schultz Road, Boston, MA 02109",Religion,True,Northeastern,False,Advanced
Voices Alliance,"A space to promoting reflection, prayer, and religious education on campus. Connect with peers through regular meetups and events.",http://www.williams-hernandez.info/,David Wiggins,pittslisa@stephens-anderson.biz,"275 Jones Court, Boston, MA 02108",Religion,True,Massachusetts Institute of Technology,True,Beginner
Religion Collective,"Our club encourages students to hosting interfaith events, discussions, and services. We welcome everyone to contribute their unique perspective.",http://ortega.com/,Debra Hayes,leekimberly@warren.com,"805 Rodgers Tunnel, Boston, MA 02115",Religion,False,Northeastern,False,Intermediate
Religion Forum,"A space to promoting reflection, prayer, and religious education on campus. Our discussions are informal, engaging, and open-minded.",https://russell-miller.com/,Dana Mendoza,erickim@miller-bernard.biz,"12160 Moran Branch, Boston, MA 02118",Religion,True,University of Massachusetts Boston,False,Intermediate
Religion Club,"Our mission is to hosting interfaith events, discussions, and services. Join us weekly as we grow our shared passion.",https://www.ortiz.biz/,Derek Johnson,baileykendra@mcknight-anderson.com,"504 Patrick Curve, Boston, MA 02116",Religion,True,Massachusetts Institute of Technology,False,Advanced
Minds Initiative,"Be part of a community that promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",https://www.ferguson.biz/,Claudia Curtis,elizabeth88@english.com,"814 Samantha Inlet, Boston, MA 02116",Religion,True,Northeastern,False,Advanced
Dreamers Forum,"An opportunity to promoting reflection, prayer, and religious education on campus. Our discussions are informal, engaging, and open-minded.",http://walls.com/,Rebecca Mckay,waynebrown@howard-norris.org,"7572 Washington Route, Boston, MA 02113",Religion,False,Boston University,False,Intermediate
Crew of Religion,"An opportunity to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",http://www.hill.com/,Dr. Amanda Kim,davidgray@hayes-ramirez.net,"743 Martinez Freeway, Boston, MA 02108",Religion,True,Tufts University,False,Advanced
Movement Coalition,"This group is designed to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",http://www.yates-rice.com/,Teresa Rice,alexander27@hernandez.info,"94590 Evans Lights, Boston, MA 02114",Religion,False,Tufts University,True,Intermediate
Creators Alliance,"Our mission is to gathering students to explore faith, spirituality, and tradition. Connect with peers through regular meetups and events.",http://www.gaines.com/,Donald Carpenter,trevinojonathan@yang-luna.org,"2601 Vasquez Ville, Boston, MA 02215",Religion,False,University of Massachusetts Boston,False,Advanced
Religion Team,"Students gather here to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",https://www.white.com/,Gloria Jackson,qhardy@carr-hernandez.com,"3329 Sharp Shores, Boston, MA 02116",Religion,True,Northeastern,False,Intermediate
Roots League,"Join us as we hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",https://www.austin.net/,Gary Mayo,davidburns@palmer.com,"9835 Samuel Stream, Boston, MA 02115",Religion,False,Tufts University,True,Beginner
Religion Initiative,"Be part of a community that hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",https://sanders.com/,Dylan Roth,ymartin@hunt-smith.com,"3462 Julie Trail, Boston, MA 02114",Religion,True,Boston College,True,Intermediate
Thinkers of Religion,"We come together to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",http://www.simpson-carroll.com/,Robert Shelton,johnsonalicia@moyer.com,"73702 Camacho Trail, Boston, MA 02108",Religion,False,Massachusetts Institute of Technology,False,Beginner
Explorers of Religion,"Join us as we gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",http://hopkins.info/,Michael Arroyo,allisonrichardson@gross.com,"4491 Shepherd Divide, Boston, MA 02113",Religion,True,Harvard,True,Advanced
Exchange Alliance,"An opportunity to promoting reflection, prayer, and religious education on campus. Connect with peers through regular meetups and events.",https://miller.com/,Jeffrey Harrell,brian83@carroll.net,"81294 Terry Mount, Boston, MA 02111",Religion,True,University of Massachusetts Boston,True,Intermediate
Religion Society,"We come together to promoting reflection, prayer, and religious education on campus. We aim to build community through tradition and practice.",http://www.holder-gallagher.com/,Robert Flores,farrelledward@taylor-grant.com,"127 Jones Springs, Boston, MA 02116",Religion,False,Boston College,False,Intermediate
Thinkers Society,"An opportunity to hosting interfaith events, discussions, and services. We aim to build community through tradition and practice.",https://www.wright.biz/,David Mcmillan,cathy10@peters.com,"6657 Pope Pines, Boston, MA 02215",Religion,True,Massachusetts Institute of Technology,True,Intermediate
Exchange of Religion,"Students gather here to hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",http://savage.info/,Brooke Pacheco,htorres@burns-hamilton.com,"780 Megan Mountains, Boston, MA 02113",Religion,True,University of Massachusetts Boston,True,Advanced
Movement Initiative,"Our mission is to hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",https://brown.com/,Robert Richardson,danielstevenson@hull.com,"64731 Ronald Turnpike, Boston, MA 02108",Religion,True,Harvard,False,Advanced
Exchange Circle,"Students gather here to promoting reflection, prayer, and religious education on campus. Our discussions are informal, engaging, and open-minded.",http://jones.com/,Jacob Hill,qbonilla@cannon.com,"4568 Jill Bridge, Boston, MA 02114",Religion,False,Boston University,True,Intermediate
Vibes of Religion,"Our mission is to hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",http://www.white.com/,Christopher Gutierrez,qgonzalez@cole.info,"47694 Smith Ways, Boston, MA 02116",Religion,False,University of Massachusetts Boston,False,Intermediate
Pulse Circle,"We aim to gathering students to explore faith, spirituality, and tradition. Our discussions are informal, engaging, and open-minded.",https://www.lopez-russo.org/,Christina Baker,adamturner@thompson.biz,"04837 Hughes Manors, Boston, MA 02114",Religion,False,Tufts University,False,Intermediate
Religion Board,"Our club encourages students to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",https://mendoza.com/,Darrell Shields,john80@ray.org,"017 John Fields, Boston, MA 02115",Religion,False,University of Massachusetts Boston,False,Beginner
Religion Alliance,"We aim to promoting reflection, prayer, and religious education on campus. Connect with peers through regular meetups and events.",https://www.mullins-powell.com/,William Taylor,garydavis@campbell.com,"596 Benjamin Mount, Boston, MA 02115",Religion,True,Northeastern,False,Intermediate
Movement Studio,"We aim to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",http://www.guerrero.biz/,Janet Manning,wwallace@lowery-jimenez.com,"442 Linda Shoals, Boston, MA 02109",Religion,False,University of Massachusetts Boston,False,Intermediate
Religion Studio,"We aim to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",http://hall-mckenzie.com/,Susan Rodriguez,crodriguez@anderson.com,"144 Wang Key, Boston, MA 02114",Religion,False,Boston University,False,Intermediate
Religion Circle,"Students gather here to hosting interfaith events, discussions, and services. Our discussions are informal, engaging, and open-minded.",https://www.hawkins.com/,Vincent Riggs,mwelch@goodwin.com,"99810 Cardenas Drive, Boston, MA 02108",Religion,True,University of Massachusetts Boston,False,Intermediate
Builders of Religion,"This group is designed to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",http://www.collins-david.net/,Scott Ritter,odavis@harris.com,"96836 Jennifer Garden, Boston, MA 02215",Religion,True,Harvard,True,Intermediate
Sessions of Religion,"This group is designed to hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",https://holland-davis.com/,Lauren Thomas,alyssamills@guzman.info,"7502 Erica Isle, Boston, MA 02113",Religion,False,Northeastern,False,Beginner
Religion Guild,"An opportunity to hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",http://schwartz.com/,Jessica Williams,jdonovan@roberts.info,"508 Stacey Street, Boston, MA 02113",Religion,True,Tufts University,False,Intermediate
Religion Network,"Students gather here to promoting reflection, prayer, and religious education on campus. Connect with peers through regular meetups and events.",https://fitzgerald.com/,Clinton Rivers,andersontamara@rodriguez.com,"6762 Mayer Glen, Boston, MA 02116",Religion,True,Boston University,True,Intermediate
Sessions Union,"An opportunity to gathering students to explore faith, spirituality, and tradition. We welcome everyone to contribute their unique perspective.",http://www.smith-jones.com/,Christopher Fox,monica53@mcpherson.info,"556 Moore Summit, Boston, MA 02109",Religion,True,Massachusetts Institute of Technology,True,Beginner
Pulse of Religion,"Our mission is to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",http://powers-powell.com/,Tamara Jenkins,russellbryan@griffith-wright.com,"172 Carlson Avenue, Boston, MA 02111",Religion,False,Massachusetts Institute of Technology,False,Advanced
Roots of Religion,"A space to hosting interfaith events, discussions, and services. Open to all students, regardless of background or experience.",http://cooper-sparks.org/,Charlene Byrd,ksaunders@hunter.com,"57790 Brandi Via, Boston, MA 02115",Religion,False,Northeastern,True,Intermediate
Creators of Religion,"Our mission is to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",http://www.andrade.com/,Jeffrey Schultz,vreid@walker.com,"2470 Schwartz Green, Boston, MA 02110",Religion,True,Northeastern,True,Intermediate
Religion Union,"We aim to promoting reflection, prayer, and religious education on campus. We welcome everyone to contribute their unique perspective.",http://www.roach-miranda.com/,Lindsey Morales,byrdbenjamin@burns.com,"24696 Ian Extension, Boston, MA 02215",Religion,False,University of Massachusetts Boston,True,Intermediate
Vibes Circle,"We come together to promoting reflection, prayer, and religious education on campus. Our discussions are informal, engaging, and open-minded.",http://www.davis-montgomery.com/,Jessica Johnson,amberkim@brown.com,"459 Paula Hill, Boston, MA 02118",Religion,False,Northeastern,True,Beginner
Crew Forum,"We aim to hosting interfaith events, discussions, and services. Our discussions are informal, engaging, and open-minded.",http://hampton-potter.biz/,Heather Riley,beverly27@mcdaniel.com,"209 Diana Mission, Boston, MA 02115",Religion,False,Boston University,True,Intermediate
Innovators Network,"A space to hosting interfaith events, discussions, and services. Connect with peers through regular meetups and events.",https://quinn.com/,Brandon Clark,kirsten88@frank.biz,"6679 Timothy Stravenue, Boston, MA 02215",Religion,False,Harvard,True,Beginner
Builders Team,"Students gather here to gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",https://hicks.biz/,Jason Miller,kellydaniels@zuniga.biz,"051 Harmon Lakes, Boston, MA 02114",Religion,False,Boston College,True,Intermediate
Dreamers of Religion,"Be part of a community that gathering students to explore faith, spirituality, and tradition. Open to all students, regardless of background or experience.",https://www.le-lopez.com/,Susan Howell,williamosborn@patrick.com,"006 Mann Plain, Boston, MA 02116",Religion,True,Boston University,True,Intermediate
Minds of Religion,"We come together to promoting reflection, prayer, and religious education on campus. Open to all students, regardless of background or experience.",https://salazar.biz/,Paul Diaz,ashleyhayes@ramos.com,"539 Leslie Vista, Boston, MA 02108",Religion,True,Boston University,True,Beginner
Visual art Initiative,"Our club encourages students to a collective for painters, illustrators, and designers. Open to all students, regardless of background or experience.",http://savage-price.com/,Danny Rogers MD,davidjohnson@mayer.com,"0692 Suzanne Corner, Boston, MA 02113",Visual art,True,University of Massachusetts Boston,False,Advanced
Exchange of Visual art,"This group is designed to workshops, exhibitions, and critiques for visual artists. Open to all students, regardless of background or experience.",https://flores.com/,Zachary Castillo,edwardlopez@scott.org,"3989 Christopher Lodge, Boston, MA 02114",Visual art,True,Harvard,False,Beginner
Innovators Board,"An opportunity to creating and showcasing visual artworks from students. Open to all students, regardless of background or experience.",http://brown.com/,Lisa Lewis,jacksonmario@pacheco.info,"3525 Gabrielle Field, Boston, MA 02115",Visual art,True,Northeastern,False,Advanced
Roots of Visual art,"Our mission is to workshops, exhibitions, and critiques for visual artists. Open to all students, regardless of background or experience.",https://www.james.com/,Joseph Williams,feliciaterry@carpenter-mason.info,"17037 Vargas Spurs, Boston, MA 02108",Visual art,True,Tufts University,True,Intermediate
Roots Guild,"Our club encourages students to creating and showcasing visual artworks from students. Open to all students, regardless of background or experience.",http://miller.biz/,David Palmer,jacksonjodi@davis.net,"3960 Denise Glen, Boston, MA 02115",Visual art,False,University of Massachusetts Boston,False,Intermediate
Visual art Union,We aim to creating and showcasing visual artworks from students. We welcome everyone to contribute their unique perspective.,http://www.yu.com/,Katrina Bowers,medinachristopher@romero.com,"5058 Dana Passage, Boston, MA 02108",Visual art,False,Boston College,False,Intermediate
Visual art Studio,"This group is designed to creating and showcasing visual artworks from students. Open to all students, regardless of background or experience.",http://phillips.com/,Kyle Ramirez,andrea60@gray.com,"543 Grant Parkways, Boston, MA 02115",Visual art,True,Northeastern,False,Advanced
Dreamers Union,"A space to workshops, exhibitions, and critiques for visual artists. We welcome everyone to contribute their unique perspective.",https://www.wallace-thomas.net/,Marie Bruce,anthonywoodward@douglas-williams.info,"758 Harper Curve, Boston, MA 02111",Visual art,True,Tufts University,False,Advanced
Roots Club,"A space to workshops, exhibitions, and critiques for visual artists. Join us weekly as we grow our shared passion.",https://brock.org/,Brooke Harper,johnmahoney@vazquez-powers.biz,"91057 Victoria Estate, Boston, MA 02108",Visual art,True,University of Massachusetts Boston,True,Advanced
Crew Circle,"We come together to workshops, exhibitions, and critiques for visual artists. Our discussions are informal, engaging, and open-minded.",https://meyer.org/,Gabrielle Mcdonald,christophershannon@hart-white.net,"10102 Wood Locks, Boston, MA 02118",Visual art,True,Boston University,True,Beginner
Crew of Visual art,"We come together to workshops, exhibitions, and critiques for visual artists. Open to all students, regardless of background or experience.",https://www.ellis-hopkins.com/,Michelle Clements,penajustin@joseph.com,"721 Sarah Station, Boston, MA 02215",Visual art,True,Tufts University,False,Advanced
Innovators Guild,"A space to creating and showcasing visual artworks from students. Open to all students, regardless of background or experience.",https://ballard.com/,Ashley Roberts,vjenkins@mayer.com,"4771 Joel Key, Boston, MA 02111",Visual art,True,Boston University,False,Advanced
Sessions of Visual art,"Be part of a community that workshops, exhibitions, and critiques for visual artists. Open to all students, regardless of background or experience.",https://www.kerr.com/,Sandra Friedman,iburnett@hoffman.com,"970 Anthony Burg, Boston, MA 02116",Visual art,False,Northeastern,False,Beginner
